date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:59:56	26/26	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Mar%202023%2009:59:55%20GMT	https://oasis-app.surge.sh/robots.txt		(from )
04:59:57	222946/222946	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2009:59:56%20GMT	https://oasis-app.surge.sh/	/home/tillystack/websites/oasis/oasis-app.surge.sh/index.html	(from )
05:00:02	5264/5264	---M-Z	200	added ('OK')	text/css	etag:W/%22633c56f1-1490%22	https://rsms.me/inter/inter.css	/home/tillystack/websites/oasis/rsms.me/inter/inter.css	(from https://oasis-app.surge.sh/)
05:00:03	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223c2e-186a8108788%22	https://oasis.app/static/favicon.ico	/home/tillystack/websites/oasis/oasis.app/static/favicon.ico	(from https://oasis-app.surge.sh/)
05:00:03	147527/147527	---MCZ	200	added ('OK')	text/html	etag:%22145m6wk8d6p35rq%22	https://oasis.app/	/home/tillystack/websites/oasis/oasis.app/index.html	(from https://oasis-app.surge.sh/)
05:00:06	73995/73995	---M--	200	added ('OK')	image/png	etag:W/%221210b-186a8108788%22	https://oasis.app/static/img/og_images/twitter_preview_default.png?c1a5ff2e-7265-466d-9071-76cbb63cfa68	/home/tillystack/websites/oasis/oasis.app/static/img/og_images/twitter_preview_default29e6.png	(from https://oasis-app.surge.sh/)
05:00:06	312781/312781	---M--	200	added ('OK')	image/png	etag:W/%224c5cd-186a8108788%22	https://oasis.app/static/img/og_images/og_default.png?d0cc7c85-db23-47a4-8216-2ab1c81fe970	/home/tillystack/websites/oasis/oasis.app/static/img/og_images/og_default29da.png	(from https://oasis-app.surge.sh/)
05:00:07	312781/312781	---M--	200	added ('OK')	image/png	etag:W/%224c5cd-186a8108788%22	https://oasis.app/static/img/og_images/og_default.png?618d94bc-dd97-41c2-82ec-904c5bf36220	/home/tillystack/websites/oasis/oasis.app/static/img/og_images/og_defaultf228.png	(from https://oasis-app.surge.sh/)
05:00:07	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:06%20GMT	https://oasis.app/static/icons/favicon-16.png	/home/tillystack/websites/oasis/oasis.app/static/icons/favicon-16.5.delayed	(from https://oasis-app.surge.sh/)
05:00:07	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:07%20GMT	https://oasis.app/static/icons/favicon-32.png	/home/tillystack/websites/oasis/oasis.app/static/icons/favicon-32.png	(from https://oasis-app.surge.sh/)
05:00:08	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:07%20GMT	https://oasis.app/static/icons/favicon-96.png	/home/tillystack/websites/oasis/oasis.app/static/icons/favicon-96.png	(from https://oasis-app.surge.sh/)
05:00:09	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:08%20GMT	https://oasis.app/static/icons/apple-icon-76x76.png	/home/tillystack/websites/oasis/oasis.app/static/icons/apple-icon-76x76.png	(from https://oasis-app.surge.sh/)
05:00:10	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:09%20GMT	https://oasis.app/static/icons/apple-icon-120x120.png	/home/tillystack/websites/oasis/oasis.app/static/icons/apple-icon-120x120.png	(from https://oasis-app.surge.sh/)
05:00:11	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:11%20GMT	https://oasis.app/static/icons/apple-icon-152x152.png	/home/tillystack/websites/oasis/oasis.app/static/icons/apple-icon-152x152.png	(from https://oasis-app.surge.sh/)
05:00:12	13815/13815	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Mar%202023%2010:00:11%20GMT	https://oasis.app/static/icons/android-icon-192x192.png	/home/tillystack/websites/oasis/oasis.app/static/icons/android-icon-192x192.png	(from https://oasis-app.surge.sh/)
05:00:14	750254/750254	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b72ae-I2VpOtfGa9/GSavEcSax34GI2zI%22	https://cdn.jsdelivr.net/npm/@walletconnect/web3-provider@1.7.1/dist/umd/index.min.js	/home/tillystack/websites/oasis/cdn.jsdelivr.net/npm/@walletconnect/web3-provider@1.7.1/dist/umd/index.min.js	(from https://oasis-app.surge.sh/)
05:00:16	1181321/1181321	---M-Z	200	added ('OK')	application/javascript	etag:W/%22120689-HpNmC9Fd8BPQEIwK9otldq5Mzso%22	https://cdn.jsdelivr.net/npm/web3@latest/dist/web3.min.js	/home/tillystack/websites/oasis/cdn.jsdelivr.net/npm/web3@latest/dist/web3.min.js	(from https://oasis-app.surge.sh/)
05:00:17	34237/34237	---M-Z	200	added ('OK')	application/javascript	etag:W/%2285bd-8GP5e+oR/eleqtr+DOant7IBR4A%22	https://cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	/home/tillystack/websites/oasis/cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	(from https://oasis-app.surge.sh/)
05:00:18	5141/5141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221415-186a8108788%22	https://oasis.app/static/img/logo_v2.svg	/home/tillystack/websites/oasis/oasis.app/static/img/logo_v2.svg	(from https://oasis-app.surge.sh/)
05:00:18	2870743/2870743	---MCZ	200	added ('OK')	application/javascript	etag:%222bcdd7-SdAMf+dASKAeGC9CCSphNlL2Usg%22	https://unpkg.com/moralis-v1@1.12.0/dist/moralis.js	/home/tillystack/websites/oasis/unpkg.com/moralis-v1@1.12.0/dist/moralis.js	(from https://oasis-app.surge.sh/)
05:00:19	210684/210684	---M--	200	added ('OK')	image/png	etag:W/%22336fc-186a8108788%22	https://oasis.app/static/img/tokens/maker_dai.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/maker_dai.png	(from https://oasis-app.surge.sh/)
05:00:21	223430/223430	---M--	200	added ('OK')	image/png	etag:W/%22368c6-186a8108788%22	https://oasis.app/static/img/tokens/Aave_stETH.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/Aave_stETH.png	(from https://oasis-app.surge.sh/)
05:00:24	1002774/1002774	---M--	200	added ('OK')	image/png	etag:W/%22f4d16-186a8108788%22	https://oasis.app/static/img/tokens/uni_old_dai_usdc.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/uni_old_dai_usdc.png	(from https://oasis-app.surge.sh/)
05:00:24	210045/210045	---M--	200	added ('OK')	image/png	etag:W/%223347d-186a8108788%22	https://oasis.app/static/img/tokens/maker_wbtc.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/maker_wbtc.png	(from https://oasis-app.surge.sh/)
05:00:24	4765/4765	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22129d-186a8108788%22	https://oasis.app/static/img/logo_footer_v2.svg	/home/tillystack/websites/oasis/oasis.app/static/img/logo_footer_v2.svg	(from https://oasis-app.surge.sh/)
05:00:25	212272/212272	---M--	200	added ('OK')	image/png	etag:W/%2233d30-186a8108788%22	https://oasis.app/static/img/tokens/maker_eth.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/maker_eth.png	(from https://oasis-app.surge.sh/)
05:00:26	104849/104849	---M--	200	added ('OK')	image/png	etag:W/%2219991-186a8108788%22	https://oasis.app/static/img/background/bottom_bg.png	/home/tillystack/websites/oasis/oasis.app/static/img/background/bottom_bg.png	(from https://oasis-app.surge.sh/)
05:00:26	103/103	---M--	200	added ('OK')	text/plain	etag:W/%2267-186a8108788%22	https://oasis.app/robots.txt		(from https://oasis-app.surge.sh/)
05:00:27	897/897	---M--	200	added ('OK')	application/json	etag:W/%22381-186a8108788%22	https://oasis.app/manifest.json	/home/tillystack/websites/oasis/oasis.app/manifest.json	(from https://oasis.app/)
05:00:28	10088/10088	---M--	200	added ('OK')	image/png	etag:W/%222768-186a8108788%22	https://oasis.app/static/icons/apple-touch-icon.png	/home/tillystack/websites/oasis/oasis.app/static/icons/apple-touch-icon.png	(from https://oasis.app/)
